prompt_version,model_name,email_id,event_date,event_type,event_time,meal_type,attendee_count,external_guests,catering_type,office_location,dietary_requirements,room_location,av_equipment,extra_arrangements,missing_fields,draft_reply
v1,gpt-4.1-nano,25,"Friday, October 22",kick-off meeting,10:00 AM to 3:00 PM,"snacks, coffee, and tea",,a few teammates joining remotely,,Berlin room,,Berlin room,,none,"[""attendee_count"", ""catering_type"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,26,"Thursday, April 13",strategy session,10:00 AM to 4:00 PM,lunch,15,,,Amsterdam,vegetarian options,Amsterdam room,projector,,"[""external_guests"", ""catering_type"", ""extra_arrangements""]",
v1,gpt-4.1-nano,27,"Monday, March 8",get-together,2:00 to 5:00 PM,coffee and snacks,8,,,,,Grand Café,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,28,"Friday, November 15",brainstorming session,9:00 AM,light breakfast,12,Deloitte,,Paris room,,Paris room,,To be confirmed,"[""catering_type"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,29,"Wednesday, August 23",training day,To be confirmed,lunch,18,,,,,room B203,,To be confirmed,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,30,Next Tuesday,visit,1:00 PM to 5:00 PM,coffee and tea service,20,Salesforce,,,To be confirmed,training room A101,,,"[""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,31,2023-03-15,strategy catch-up,10:00 AM to 12:00 PM,light snacks and coffee,8,,,,,Room B211,,To be confirmed,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,32,February 5th,meeting,,simple lunch with assorted sandwiches and a vegetarian option,14,3,,Rotterdam,To be confirmed,meeting room,,water and tea available throughout the meeting,"[""event_time"", ""catering_type"", ""av_equipment""]",
v1,gpt-4.1-nano,33,April 22nd,team meeting,8:30 AM,breakfast,10,,,Grand Café,pastries and fruit,Room 3.02,,until noon,"[""external_guests"", ""catering_type"", ""av_equipment""]",
v1,gpt-4.1-nano,34,July 9th,project review session,2 PM to 5 PM,coffee and snacks,15,,,Amsterdam office,To be confirmed,A302,projector,To be confirmed,"[""external_guests"", ""catering_type""]",
v1,gpt-4.1-nano,35,August 3rd,workshop,9:00 AM to noon,sandwiches and drinks,6,2,,Hilversum office,To be confirmed,,,,"[""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,36,"Wednesday, July 22",internal workshop,10:00 AM to 3:00 PM,salads and sandwiches,18,,,Hilversum office,vegan,training room,projector,,"[""external_guests"", ""catering_type"", ""extra_arrangements""]",
v1,gpt-4.1-nano,37,"Friday, August 7th",partner meeting,11:00 AM to 3:00 PM,wraps and fruit platters,12,,,Wibaut office,To be confirmed,,,,"[""external_guests"", ""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,38,"Monday, September 14",team-building session,2:00 PM,snacks and drinks,25,,,,,Bangalore room,,To be confirmed,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,39,2023-10-15,client meeting,13:00-17:00,catered lunch,15,ING,vegetarian options,Amsterdam,vegetarian options,Paris room,,chairs in a semicircle,"[""av_equipment""]",
v1,gpt-4.1-nano,40,2023-11-03,internal product demo,full day,"lunch, sandwiches",20,,,Wibaut office,light,Training Room A,projector,,"[""external_guests"", ""catering_type"", ""extra_arrangements""]",
v1,gpt-4.1-nano,41,October 25,strategy session,14:00 to 18:00,"light refreshments, sandwiches and drinks",18,4,,Laap office,To be confirmed,larger training rooms,,,"[""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,42,2023-11-07,meeting,10:00 AM to 1:00 PM,catered lunch,15,3,simple sandwiches and salads,Hilversum,vegetarian-friendly,Hilversum office,,,"[""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,43,"Monday, October 20",internal workshop,9:00 AM to 3:00 PM,coffee and tea setup with snacks,25,To be confirmed,,Wibaut office,gluten-free,,,,"[""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,44,2023-10-12,meeting,8:30-11:30,catered breakfast,12,partners from Appian,"pastries, fruits, juices",Amsterdam,To be confirmed,Boardroom,,,"[""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,45,"Friday, December 1",team-building event,16:00,buffet-style dinner,30,,,Grand Café,,,potentially,To be confirmed,"[""external_guests"", ""catering_type"", ""dietary_requirements"", ""room_location""]",
v1,gpt-4.1-nano,46,March 14th,gathering,,lunch,18,,sandwiches or a small buffet,,To be confirmed,Paris room,,,"[""event_time"", ""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,47,January 22nd,visiting,8:30 AM,breakfast,15,,"pastries, fruits, coffee, juice",Berlin,,Grand Café,projector,short presentation,"[""external_guests"", ""dietary_requirements""]",
v1,gpt-4.1-nano,48,2023-10-10,client workshop,To be confirmed,lunch,25,,simple lunch with sandwiches and salads,Hilversum office,To be confirmed,training room,,,"[""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,49,November 3rd,internal team-building session,13:00,light dinner,30,,,Utrecht office,vegetarian preferences,,,,"[""external_guests"", ""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,50,February 5th,meeting,10:00 AM,"coffee, tea, snacks",10,TechSavvy,"coffee, tea, snacks",Boardroom,To be confirmed,Boardroom,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,1,"Thursday, March 5th",workshop,10:00 AM to 3:00 PM,light lunch,18,Yes,sandwiches and salads,,,Orange Room,,coffee and tea for the morning session,"[""office_location"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o,2,"Monday, April 14th",tech talk,starting around 1:00 PM,meal afterwards,25,,pizzas or something easy,Wibaut office,,suitable room for the entire afternoon,,,"[""external_guests"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,3,"Wednesday, July 22",partner event,2:00 PM to 6:00 PM,refreshments and snacks,15,Yes,,,,,AV equipment for presentations,advise on a good spot for a post-meeting dinner,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""room_location""]",
v2,gpt-4o,4,May 8th,strategy session,12:30 PM,lunch,7,No,wraps and salads,,gluten-free,Paris Room,,,"[""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,5,June 10th,client engagement session,10:00 AM to 4:00 PM,lunch,20,Yes,buffet,,multiple dietary options,Grand Café,,,"[""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,6,"Thursday, September 15",leadership workshop,,light lunch,18,mix of internal and external stakeholders,selection of salads and wraps,,To be confirmed,A202,projector,,"[""event_time"", ""office_location"", ""extra_arrangements""]",
v2,gpt-4o,7,"Thursday, March 10",client workshop,9:00 AM,breakfast,25,Yes,simple breakfast,Hilversum office,,meeting room,,,"[""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,8,"Monday, October 3rd",strategy session,10:00 to 3:00 PM,lunch,15,,sandwiches and a fruit platter,,To be confirmed,G110,,,"[""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,9,"Thursday, July 7th",roundtable discussion,,refreshments,10,Yes,"coffee, tea, and snacks",Laap office,,Paris room,,,"[""event_time"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,10,"Friday, August 20th",internal training session,2:00 PM to 5:00 PM,,12,No,coffee station,Wibaut office,,training room II,,,"[""meal_type"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,11,May 18,client workshop,,lunch,15,Yes,simple lunch with sandwiches and salads,,,Grand Cafe,,reserve a table for the group,"[""event_time"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o,12,"Tuesday, July 7",strategy meeting,09:00 to 15:00,breakfast and lunch,18,,light breakfast and lunch with vegetarian option,Utrecht,To be confirmed,B201,,,"[""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,13,June 14,coding bootcamp,10:00 to 17:00,snacks and drinks,25,Yes,,Amsterdam,,Training Room A,,,"[""catering_type"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,14,"Friday, April 21",leadership team lunch,,lunch,8,internal,catered lunch,,,Paris room,,coffee and tea,"[""event_time"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o,15,March 30,networking event,14:00 to 18:00,finger foods and soft drinks,20,Yes,finger foods,,To be confirmed,Training Room C,,,"[""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,16,"Monday, June 14",brainstorming session,,pastries and coffee,To be confirmed,Yes,casual,,,A102,,,"[""event_time"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,17,"Friday, October 23",farewell gathering,,lunch,15,,catered,Hilversum,vegan,Grand Cafe,,,"[""event_time"", ""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,18,"Wednesday, February 10",full day workshop,,light lunch with sandwiches and drinks,To be confirmed,Yes,light lunch,Wibaut office,,training room,,snacks for the afternoon session,"[""event_time"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o,19,March 5,meeting,10:00 AM to 2:00 PM,lunch,12,Yes,,Amsterdam,vegetarian options,B212,,,"[""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,20,"Tuesday, July 8",meeting,9 AM until 4 PM,lunch,16,,"coffee and snacks, simple lunch",Laap,To be confirmed,,,,"[""external_guests"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,21,"Thursday, July 15",executive roundtable,8:00 AM,breakfast,12,Yes,light breakfast setup,Amsterdam,gluten-free options,Paris room,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,22,"Wednesday, August 10",strategy workshop,2 PM to 5 PM,sandwiches and coffee,15,Yes,,,,room 3.02,,,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,23,"Monday, September 5",knowledge-sharing session,,lunch,To be confirmed,Yes,Sandwiches and a salad bar,Hilversum,Vegetarian option,,,,"[""event_time"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,24,"Friday, June 25",team-building,,lunch,25,internal Xebia employees,barbecue,,,rooftop terrace,projector,,"[""event_time"", ""office_location"", ""dietary_requirements"", ""extra_arrangements""]",
v2,gpt-4o,25,"Friday, October 22",kick-off meeting,10:00 AM to 3:00 PM,snacks,To be confirmed,,,,,Berlin room,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,26,"Thursday, April 13",strategy session,10:00 AM to 4:00 PM,lunch,15,Yes,,Amsterdam,vegetarian options,Amsterdam room,projector,,"[""catering_type"", ""extra_arrangements""]",
v2,gpt-4o,27,"Monday, March 8",get-together for new hires,2:00 to 5:00 PM,coffee and snacks,8,,,,,Grand Café,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,28,November 15,brainstorming session,9:00 AM,breakfast,12,Yes,light,Paris,,Paris room,,,"[""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,29,"Wednesday, August 23",training day,,lunch,18,internal,To be confirmed,,,room B203,,,"[""event_time"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,30,Next Tuesday,"visit from partner, Salesforce",1:00 PM to 5:00 PM,coffee and tea service,20,Yes,,,To be confirmed,training room A101,,,"[""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,31,March 15th,strategy catch-up,10:00 AM to 12:00 PM,light snacks and coffee,8,No,,,,Room B211,,,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,32,February 5th,potential partner visit,,lunch,14,Yes,simple lunch with assorted sandwiches and a vegetarian option,Rotterdam,To be confirmed,suitable meeting room,,water and tea available throughout the meeting,"[""event_time"", ""av_equipment""]",
v2,gpt-4o,33,April 22nd,team meeting,8:30 AM to noon,breakfast,10,,pastries and fruit,,,Room 3.02,,,"[""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,34,July 9th,project review session,2 PM to 5 PM,coffee and snacks,15,,,Amsterdam,To be confirmed,A302,projector,,"[""external_guests"", ""catering_type"", ""extra_arrangements""]",
v2,gpt-4o,35,August 3rd,workshop,9:00 AM to noon,sandwiches and drinks,8,Yes,,Hilversum,To be confirmed,any available space,,,"[""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,36,"Wednesday, July 22",internal workshop,10:00 AM to 3:00 PM,lunch,18,No,salads and sandwiches,Hilversum office,vegan,training room,projector,,"[""extra_arrangements""]",
v2,gpt-4o,37,"Friday, August 7th",partner meeting with AWS,11:00 AM to 3:00 PM,Lunch,12,Yes,mix of wraps and fruit platters,Wibaut office,To be confirmed,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,38,"Monday, September 14",team-building session,2:00 PM,snacks and drinks,around 25,,,,,Bangalore room,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,39,"Thursday, October 15th",client meeting,1:00 PM until 5:00 PM,lunch,15,Yes,catered,Amsterdam,vegetarian options,Paris room,,chairs in a semicircle,"[""av_equipment""]",
v2,gpt-4o,40,"Tuesday, November 3",internal product demo,full day,lunch,20,No,sandwiches,Wibaut office,,Training Room A,projector,,"[""dietary_requirements"", ""extra_arrangements""]",
v2,gpt-4o,41,October 25,strategy session,14:00 to 18:00,light refreshments,18,Yes,sandwiches and drinks,Laap office,To be confirmed,larger training room,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,42,"Friday, November 7",meeting with a client,10:00 AM to 1:00 PM,lunch,15,Yes,simple catered lunch,Hilversum office,vegetarian-friendly option,meeting room,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,43,"Monday, October 20",internal workshop focusing on Agile practices,9:00 AM to 3:00 PM,,about 25,internal,coffee and tea setup with snacks,Wibaut office,To be confirmed,,,,"[""meal_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,44,October 12,meeting,8:30 to 11:30,breakfast,12,Yes,catered,Amsterdam,To be confirmed,Boardroom,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,45,"Friday, December 1",team-building event,16:00 to 18:30,dinner,30,,buffet-style,Grand Café,,,To be confirmed,,"[""external_guests"", ""dietary_requirements"", ""room_location"", ""extra_arrangements""]",
v2,gpt-4o,46,March 14th,small gathering with DevOps partners,,lunch,18,Yes,Sandwiches or a small buffet,,To be confirmed,Paris room,,,"[""event_time"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,47,January 22nd,welcoming breakfast,8:30 AM,breakfast,15,Yes,"mix of pastries, fruits, coffee, and juice",Berlin,,Grand Café,projector,,"[""dietary_requirements"", ""extra_arrangements""]",
v2,gpt-4o,48,October 10th,client workshop,,lunch,25,Yes,simple lunch with sandwiches and salads,Hilversum,To be confirmed,training room,,,"[""event_time"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,49,November 3rd,internal team-building session,13:00 to evening,dinner,30,No,light dinner,Utrecht,vegetarian preferences,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o,50,February 5th,"meeting with our new partner, TechSavvy",10:00 AM,snacks,10,Yes,"coffee, tea, and snacks",,To be confirmed,Boardroom,,,"[""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,1,2024-03-05,workshop,10:00 AM to 3:00 PM,light lunch,18,yes,sandwiches and salads,,,Orange Room,,coffee and tea for the morning session,"[""office_location"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o-mini,2,2024-04-14,tech talk,1:00 PM,pizzas,25,,To be confirmed,Wibaut,,,,,"[""external_guests"", ""dietary_requirements"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,3,"Wednesday, July 22",partner event,2:00 PM to 6:00 PM,refreshments and snacks,15,yes,,,,,AV equipment for presentations,post-meeting dinner,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""room_location""]",
v2,gpt-4o-mini,4,2023-05-08,strategy session,12:30 PM,lunch,7,,wraps and salads,,gluten-free,Paris Room,,,"[""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,5,June 10th,client engagement session,10:00 AM to 4:00 PM,lunch,20,yes,buffet with multiple dietary options,,,Grand Café,,,"[""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,6,2023-09-15,leadership workshop,,light lunch,18,yes,selection of salads and wraps,,To be confirmed,A202,projector,,"[""event_time"", ""office_location"", ""extra_arrangements""]",
v2,gpt-4o-mini,7,2023-03-10,workshop,9:00 AM,breakfast,25,yes,simple breakfast,Hilversum,,meeting room,,,"[""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,8,2023-10-03,strategy session,10:00 to 3:00 PM,lunch,15,,sandwiches and fruit platter,,gluten-free request,G110,,,"[""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,9,2023-07-07,roundtable discussion,,refreshments,10,yes,snacks and beverages,Laap,,Paris room,,"refreshments like coffee, tea, and snacks","[""event_time"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o-mini,10,2023-08-20,internal training session,2:00 PM to 5:00 PM,,12,internal,,Wibaut,,training room II,,coffee station,"[""meal_type"", ""catering_type"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o-mini,11,May 18,client workshop,,lunch,15,yes,sandwiches and salads,,,Grand Cafe,,reserve a table for the group,"[""event_time"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o-mini,12,"Tuesday, July 7",strategy meeting,09:00 - 15:00,light breakfast and lunch,18,,vegetarian option,Utrecht,To be confirmed,B201,,,"[""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,13,June 14,coding bootcamp,10:00 to 17:00,snacks and drinks,25,yes,,Amsterdam,,Training Room A,,snacks and drinks,"[""catering_type"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o-mini,14,2023-04-21,leadership team lunch,,lunch,8,internal,sandwiches and fruit platter,Paris,,Paris room,,coffee and tea,"[""event_time"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o-mini,15,March 30,networking event,14:00 to 18:00,finger foods,20,yes,soft drinks,,To be confirmed,Training Room C,,,"[""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,16,2023-06-14,brainstorming session,,pastries and coffee,8-10,yes,light catering,,,A102,,,"[""event_time"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,17,2023-10-23,farewell gathering,,lunch,15,,catered,Hilversum,vegan options,Grand Cafe,,,"[""event_time"", ""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,18,2023-02-10,workshop,,light lunch,18,yes,sandwiches and drinks,Wibaut,,training room,,snacks for the afternoon session,"[""event_time"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4o-mini,19,2024-03-05,meeting,10:00 AM to 2:00 PM,lunch,12,yes,vegetarian,Amsterdam,vegetarian options,B212,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,20,2024-07-08,,9 AM until 4 PM,simple lunch,16,yes,coffee and snacks,Laap,To be confirmed,,,,"[""event_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,21,2023-07-15,executive roundtable,8:00 AM,light breakfast,12,To be confirmed,"pastries, coffee, and tea",Amsterdam,gluten-free options,Paris room,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,22,2023-08-10,strategy workshop,2 PM to 5 PM,sandwiches and coffee,15,yes,To be confirmed,To be confirmed,,room 3.02,,,"[""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,23,2023-09-05,knowledge-sharing session,,lunch,20,yes,sandwiches and salad bar,Hilversum,vegetarian option,,,final count to be confirmed,"[""event_time"", ""room_location"", ""av_equipment""]",
v2,gpt-4o-mini,24,2023-06-25,team-building,,lunch,25,yes,barbecue,,,rooftop terrace,projector,,"[""event_time"", ""office_location"", ""dietary_requirements"", ""extra_arrangements""]",
v2,gpt-4o-mini,25,2023-10-22,kick-off meeting,10:00 AM to 3:00 PM,"snacks, coffee, and tea",,,,,,Berlin room,,,"[""attendee_count"", ""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,26,2023-04-13,strategy session,10:00 AM to 4:00 PM,lunch,15,yes,To be confirmed,Amsterdam,vegetarian options,Amsterdam room,projector,,"[""extra_arrangements""]",
v2,gpt-4o-mini,27,2023-03-08,get-together,2:00 PM to 5:00 PM,snacks,8,,coffee and snacks,,,Grand Café,,,"[""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,28,2023-11-15,brainstorming session,9:00 AM,light breakfast,12,yes,To be confirmed,Paris,,Paris room,,,"[""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,29,2023-08-23,training day,,lunch,18,internal,,,,B203,,,"[""event_time"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,30,To be confirmed,Visit from partner,1:00 PM to 5:00 PM,Coffee and tea service,20,Yes,,,To be confirmed,Training room A101,,,"[""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,31,March 15th,strategy catch-up,10:00 AM to 12:00 PM,light snacks and coffee,8,internal,To be confirmed,,,Room B211,,,"[""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,32,February 5th,meeting,,lunch,14,yes,simple lunch with assorted sandwiches and a vegetarian option,Rotterdam,To be confirmed,To be confirmed,,water and tea available throughout the meeting,"[""event_time"", ""av_equipment""]",
v2,gpt-4o-mini,33,April 22nd,team meeting,8:30 AM to noon,breakfast,10,,pastries and fruit,,,Room 3.02,,,"[""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,34,July 9th,project review session,2 PM to 5 PM,coffee and snacks,15,,,Amsterdam,To be confirmed,A302,projector,,"[""external_guests"", ""catering_type"", ""extra_arrangements""]",
v2,gpt-4o-mini,35,August 3rd,workshop,9:00 AM to noon,sandwiches and drinks,8,yes,To be confirmed,Hilversum,To be confirmed,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,36,"Wednesday, July 22",workshop,10:00 AM to 3:00 PM,lunch,18,internal,salads and sandwiches,Hilversum,vegan,To be confirmed,projector,,"[""extra_arrangements""]",
v2,gpt-4o-mini,37,2023-08-07,partner meeting,11:00 AM to 3:00 PM,lunch,12,yes,mix of wraps and fruit platters,Wibaut office,To be confirmed,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,38,September 14,team-building session,2:00 PM,snacks and drinks,25,,,Bangalore,,Bangalore room,,,"[""external_guests"", ""catering_type"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,39,2023-10-15,client meeting,1:00 PM until 5:00 PM,lunch,15,yes,catered lunch with vegetarian options,Amsterdam,vegetarian options,Paris room,,setup with chairs in a semicircle,"[""av_equipment""]",
v2,gpt-4o-mini,40,2023-11-03,product demo,,lunch,20,internal,sandwiches,Wibaut,,Training Room A,projector,,"[""event_time"", ""dietary_requirements"", ""extra_arrangements""]",
v2,gpt-4o-mini,41,2023-10-25,strategy session,14:00 to 18:00,light refreshments,18,yes,sandwiches and drinks,Laap,To be confirmed,larger training room,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,42,2023-11-07,meeting,10:00 AM to 1:00 PM,lunch,15,yes,simple catered lunch,Hilversum,vegetarian-friendly option,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,43,"Monday, October 20",workshop,9:00 AM - 3:00 PM,snacks,25,To be confirmed,coffee and tea setup with snacks,Wibaut office,gluten-free,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,44,2023-10-12,meeting,8:30 to 11:30,breakfast,12,yes,"pastries, fruits, and juices",Amsterdam,To be confirmed,Boardroom,,,"[""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,45,2023-12-01,team-building,16:00 - 18:30,dinner,30,,buffet,Grand Café,,,To be confirmed,,"[""external_guests"", ""dietary_requirements"", ""room_location"", ""extra_arrangements""]",
v2,gpt-4o-mini,46,March 14th,gathering,,lunch,18,yes,sandwiches or small buffet,,To be confirmed,Paris room,,,"[""event_time"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,47,January 22nd,welcoming breakfast,8:30 AM,breakfast,15,yes,"mix of pastries, fruits, coffee, and juice",Grand Café,,,projector,,"[""dietary_requirements"", ""room_location"", ""extra_arrangements""]",
v2,gpt-4o-mini,48,2023-10-10,client workshop,,lunch,25,yes,sandwiches and salads,Hilversum,To be confirmed,training room,,,"[""event_time"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,49,November 3rd,team-building session,13:00 - To be confirmed,light dinner,30,internal,To be confirmed,Utrecht,vegetarian preferences,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4o-mini,50,February 5th,meeting,10:00 AM,snacks,10,yes,coffee and tea,,To be confirmed,Boardroom,,,"[""office_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4.1-nano,1,2024-03-05,workshop for potential clients,10:00 AM to 3:00 PM,"light lunch, sandwiches and salads",18,some external guests,lunch and beverages,,,Orange Room,,coffee and tea for the morning session,"[""office_location"", ""dietary_requirements"", ""av_equipment""]",
v2,gpt-4.1-nano,2,"Monday, April 14th",tech talk,around 1:00 PM for the entire afternoon,pizzas or something easy,25,No,meal,Wibaut office,,,,,"[""dietary_requirements"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v2,gpt-4.1-nano,3,"Wednesday, July 22",partner event,2:00 PM to 6:00 PM,refreshments and snacks,15,Yes,snacks,,,,AV equipment for presentations,post-meeting dinner,"[""office_location"", ""dietary_requirements"", ""room_location""]",
v2,gpt-4.1-nano,4,2023-05-08,strategy session,12:30 PM,lunch,7,False,wraps and salads,Paris Office,gluten-free,Paris Room,,,"[""av_equipment"", ""extra_arrangements""]",
